Codigo Cliente;Codigo Contrato;Data Inicio do contrato;Data Término do contrato;Fechado;Placa;Cor;Modelo;Valor Período (diária/mensal);Valor Periodo Seguro adicional;Valor Locação com seguro;Periodo Tarifa;;;;;;;;;;;;;;
29;1063;12/08/2021 00:00;20/08/2021 00:00;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 350,00;R$ 28,00;4;R$ 462,00;;;;;;;;;;;;;;
39;1323;05/11/2021 00:00;08/11/2021 00:00;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 300,00;R$ 28,00;4;R$ 412,00;;;;;;;;;;;;;;
42;1416;18/12/2021 00:00;18/01/2022 00:00;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.190,00;R$ 177,00;30;R$ 2.367,00;;;;;;;;;;;;;;
37;1237;18/10/2021 00:00;12/11/2021 00:00;Sim;QOV8619;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.600,00;R$ 177,00;30;R$ 1.777,00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
