CodigoCliente;CodigoContrato;DataInicio;DataTermino;Fechado;Placa;Cor;Modelo;ValorPeriodoVeiculo;ValorCombustivel;ValorLocacao;PeriodoTarifa;ValorDiversos
520;23885;04/01/2021 00:00;24/02/2021 00:00;Sim;RME6J07;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 1.800,00;R$ 0,00;R$ 3.060,00;30;R$ 0,00
2122;23909;06/01/2021 00:00;05/02/2021 00:00;Sim;RFP7J90;Branca;Ka Se 1.0 Ha;R$ 1.650,00;R$ 0,00;R$ 1.650,00;30;R$ 0,00
1488;23910;06/01/2021 00:00;05/02/2021 00:00;Sim;RFT2A90;Branco;Ka Se 1.0 Ha;R$ 1.650,00;R$ 0,00;R$ 1.650,00;30;R$ 0,00
2123;23912;08/01/2021 00:00;11/01/2021 00:00;Sim;RFQ7H08;Cinza Moscou;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 300,00;1;R$ 0,00
340;24161;18/01/2021 00:00;18/01/2021 00:00;Sim;RFP7J87;Branca;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 0,00;1;
340;24162;18/01/2021 00:00;21/01/2021 00:00;Sim;RFT2A86;Cinza Moscou;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 300,00;1;R$ 0,00
2126;24180;20/01/2021 00:00;29/01/2021 00:00;Sim;QWU1193;Prata;Etios Hb Xls 1.5;R$ 120,00;R$ 0,00;R$ 1.080,00;1;R$ 0,00
2002;23792;25/01/2021 00:00;26/02/2021 00:00;Sim;QOS4685;Preta;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;R$ 2.000,00;R$ 0,00;R$ 2.133,33;30;R$ 0,00
1609;24233;28/01/2021 00:00;01/02/2021 00:00;Sim;RFQ7H08;Cinza Moscou;Ka Se 1.0 Ha;R$ 75,00;R$ 0,00;R$ 330,00;1;R$ 30,00
2129;24246;29/01/2021 00:00;01/02/2021 00:00;Sim;RFP7J87;Branca;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 300,00;1;R$ 35,00
