Codigo Cliente;Codigo Contrato;Data Inicio do contrato;Data Término do contrato;Fechado;Placa;Cor;Modelo;Valor Período (diária/mensal);Valor Periodo Seguro adicional;Periodo Tarifa;Valor Locação com seguro;;;;;;;;;;;;;;
89;2942;24/02/23;27/02/23;Não;RGC2E01;Prata;Hb20 Sense 1.0 Flex;115,00;28,00;1;143,00;;;;;;;;;;;;;;
38;1238;26/10/21;30/10/21;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;616,00;28,00;4;728,00;;;;;;;;;;;;;;
46;1595;02/03/22;04/04/22;Sim;QNV0923;Branco;Ka + Sedan 1.5 16v Flex 4p;2752,00;177,00;30;2929,00;;;;;;;;;;;;;;
36;1236;13/10/21;14/10/21;Sim;QNY5612;Branco;Ka 1.0 Ticvt Flex 8v 5p;154,00;28,00;4;266,00;;;;;;;;;;;;;;
78;2820;30/01/23;31/01/23;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;154,00;28,00;3;238,00;;;;;;;;;;;;;;
78;2706;26/12/22;26/12/22;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;126,00;28,00;1;154,00;;;;;;;;;;;;;;
73;2816;23/01/23;26/01/23;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;616,00;28,00;4;728,00;;;;;;;;;;;;;;
73;2588;14/11/22;14/12/22;Sim;QXI8104;Branco;Chev/Onix 10tat Ltz;92,00;28,00;1;120,00;;;;;;;;;;;;;;
73;2472;03/11/22;04/11/22;Sim;QQS7869;Branco;Ka 1.0 Ticvt Flex 8v 5p;1588,00;177,00;30;1765,00;;;;;;;;;;;;;;
73;2524;03/11/22;14/11/22;Sim;QXI8104;Branco;Onix Hatch 1.0  8v Flex Power 5p;2350,00;177,00;30;2527,00;;;;;;;;;;;;;;
56;1920;09/05/22;09/06/22;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
56;2027;09/06/22;12/01/23;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
12;1504;12/01/22;27/01/22;Sim;QNF9858;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
12;357;29/12/20;27/01/21;Sim;QNZ0241;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
62;2932;10/02/23;10/03/23;Não;QQI3332;Branco;Saveiro Robust 1.6 Total Flex 8V;2820,00;255,00;30;3075,00;;;;;;;;;;;;;;
62;2933;10/02/23;10/03/23;Não;QQI3320;Branco;Saveiro Robust 1.6 Total Flex 8V;2000,00;255,00;30;2255,00;;;;;;;;;;;;;;
62;2030;10/06/22;10/07/22;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;1980,00;177,00;30;2157,00;;;;;;;;;;;;;;
87;2936;16/02/23;17/02/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
87;3057;15/03/23;28/03/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
87;3063;03/04/23;06/04/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
