DataInicio;DataTermino;Modelo
07/06/2022 00:00;07/07/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
07/07/2022 00:00;31/07/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
31/07/2022 00:00;31/08/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
31/08/2022 00:00;01/10/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/10/2022 00:00;01/11/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/11/2022 00:00;01/12/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/12/2022 00:00;01/01/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/01/2023 00:00;01/02/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/02/2023 00:00;01/03/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/03/2023 00:00;01/04/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/04/2023 00:00;01/05/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
04/07/2022 00:00;31/07/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
31/07/2022 00:00;31/08/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
31/08/2022 00:00;01/10/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/10/2022 00:00;01/11/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/11/2022 00:00;01/12/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/12/2022 00:00;01/01/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/01/2023 00:00;01/02/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/02/2023 00:00;01/03/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/03/2023 00:00;01/04/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/04/2023 00:00;01/05/2023 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
07/09/2022 00:00;01/10/2022 00:00;Gol 1.0 Flex 12V 5P
01/10/2022 00:00;01/11/2022 00:00;Gol 1.0 Flex 12V 5P
01/11/2022 00:00;01/12/2022 00:00;Gol 1.0 Flex 12V 5P
01/12/2022 00:00;01/01/2023 00:00;Gol 1.0 Flex 12V 5P
01/01/2023 00:00;01/02/2023 00:00;Gol 1.0 Flex 12V 5P
01/02/2023 00:00;01/03/2023 00:00;Gol 1.0 Flex 12V 5P
