Codigo Cliente;Codigo Contrato;Data Inicio do contrato;Data Término do contrato;Fechado;Placa;Cor;Modelo;Valor Período (diária/mensal);Valor Periodo Seguro adicional;Valor Locação com seguro;Periodo Tarifa;;;;;;;;;;;;;;
77;2705;22/12/2022 00:00;23/12/2022 00:00;Sim;QQS9964;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 89,00;R$ 28,00;1;R$ 117,00;;;;;;;;;;;;;;
77;2707;28/12/2022 00:00;28/12/2022 00:00;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;R$ 133,00;R$ 39,00;1;R$ 172,00;;;;;;;;;;;;;;
63;2033;17/06/2022 00:00;19/07/2022 00:00;Sim;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;R$ 2.500,00;R$ 177,00;30;R$ 2.677,00;;;;;;;;;;;;;;
47;1596;03/03/2022 00:00;03/04/2022 00:00;Sim;QUB6267;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;R$ 2.000,00;R$ 255,00;30;R$ 2.255,00;;;;;;;;;;;;;;
47;1816;25/04/2022 00:00;03/06/2022 00:00;Sim;QUB6267;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;R$ 2.000,00;R$ 255,00;30;R$ 2.255,00;;;;;;;;;;;;;;
68;2250;26/08/2022 00:00;21/11/2022 00:00;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.070,00;R$ 255,00;30;R$ 2.325,00;;;;;;;;;;;;;;
76;2704;22/12/2022 00:00;23/12/2022 00:00;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;R$ 225,00;R$ 39,00;1;R$ 264,00;;;;;;;;;;;;;;
69;2354;15/09/2022 00:00;15/12/2022 00:00;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.800,00;R$ 177,00;30;R$ 1.977,00;;;;;;;;;;;;;;
40;2702;30/11/2022 00:00;14/01/2023 00:00;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 82,00;R$ 28,00;1;R$ 110,00;;;;;;;;;;;;;;
40;2590;22/11/2022 00:00;26/11/2022 00:00;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 440,00;R$ 28,00;4;R$ 552,00;;;;;;;;;;;;;;
40;2593;30/11/2022 00:00;17/12/2022 00:00;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 396,00;R$ 28,00;4;R$ 508,00;;;;;;;;;;;;;;
40;2469;24/10/2022 00:00;31/10/2022 00:00;Sim;QUB6250;Branco;Fiat Uno Vivace 1.0 Fire Flex 8V 4P;R$ 396,00;R$ 28,00;4;R$ 508,00;;;;;;;;;;;;;;
64;2246;05/08/2022 00:00;11/08/2022 00:00;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.070,00;R$ 177,00;30;R$ 2.247,00;;;;;;;;;;;;;;
74;2596;02/12/2022 00:00;02/01/2023 00:00;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.050,00;R$ 177,00;30;R$ 2.227,00;;;;;;;;;;;;;;
41;1503;08/01/2022 00:00;08/02/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
41;1590;08/02/2022 00:00;08/03/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
41;1714;08/03/2022 00:00;08/03/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
61;1968;03/06/2022 00:00;04/07/2022 00:00;Sim;QQS7869;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.250,00;R$ 177,00;30;R$ 2.427,00;;;;;;;;;;;;;;
32;1594;25/02/2022 00:00;02/03/2022 00:00;Sim;QQS7860;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 670,00;R$ 28,00;3;R$ 754,00;;;;;;;;;;;;;;
78;2706;26/12/2022 00:00;26/12/2022 00:00;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 126,00;R$ 28,00;1;R$ 154,00;;;;;;;;;;;;;;
73;2588;14/11/2022 00:00;14/12/2022 00:00;Sim;QXI8104;Branco;Chev/Onix 10tat Ltz;R$ 92,00;R$ 28,00;1;R$ 120,00;;;;;;;;;;;;;;
73;2472;03/11/2022 00:00;04/11/2022 00:00;Sim;QQS7869;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 440,00;R$ 177,00;30;R$ 617,00;;;;;;;;;;;;;;
73;2524;03/11/2022 00:00;14/11/2022 00:00;Sim;QXI8104;Branco;Onix Hatch 1.0  8v Flex Power 5p;R$ 2.350,00;R$ 177,00;30;R$ 2.527,00;;;;;;;;;;;;;;
56;1920;09/05/2022 00:00;09/06/2022 00:00;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.050,00;R$ 177,00;30;R$ 2.227,00;;;;;;;;;;;;;;
56;2027;09/06/2022 00:00;12/01/2023 00:00;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.050,00;R$ 177,00;30;R$ 2.227,00;;;;;;;;;;;;;;
12;1504;12/01/2022 00:00;27/01/2022 00:00;Sim;QNF9858;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 2.050,00;R$ 177,00;30;R$ 2.227,00;;;;;;;;;;;;;;
62;2030;10/06/2022 00:00;10/07/2022 00:00;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.980,00;R$ 177,00;30;R$ 2.157,00;;;;;;;;;;;;;;
70;2467;13/10/2022 00:00;14/10/2022 00:00;Sim;QQS9964;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 125,00;R$ 28,00;1;R$ 153,00;;;;;;;;;;;;;;
49;1719;08/03/2022 00:00;08/04/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
49;1809;08/04/2022 00:00;08/05/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
49;1923;08/05/2022 00:00;08/06/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
49;2026;08/06/2022 00:00;08/07/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
49;2135;08/07/2022 00:00;20/07/2022 00:00;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 1.250,00;R$ 177,00;30;R$ 1.427,00;;;;;;;;;;;;;;
48;1597;04/03/2022 00:00;07/03/2022 00:00;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 345,00;R$ 28,00;3;R$ 429,00;;;;;;;;;;;;;;
39;1921;10/05/2022 00:00;11/05/2022 00:00;Sim;QQS7860;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 154,00;R$ 28,00;3;R$ 238,00;;;;;;;;;;;;;;
67;2248;12/08/2022 00:00;15/08/2022 00:00;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;R$ 385,00;R$ 28,00;3;R$ 469,00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
