CodigoCliente;CodigoContrato;DataInicio;DataTermino;Fechado;Placa;Cor;Modelo;ValorPeriodoVeiculo;ValorCombustivel;ValorLocacao;PeriodoTarifa;ValorDiversos
841;29898;03/01/2022 00:00;05/01/2022 00:00;Sim;RTI3A45;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 160,00;R$ 0,00;R$ 350,00;1;R$ 30,00
2241;29922;07/01/2022 00:00;10/01/2022 00:00;Sim;RME6J17;Prata;Gol 1.6 Msi Flex 8v 5p;R$ 140,00;R$ 0,00;R$ 420,00;1;R$ 0,00
2002;29600;10/01/2022 00:00;16/03/2022 00:00;Sim;QXD1031;Cinza;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;R$ 60,00;R$ 0,00;R$ 6.033,33;1;R$ 2.133,33
916;29937;12/01/2022 00:00;21/01/2022 00:00;Sim;RMV8D75;Prata;Hilux Cd 4x4 2.8 Diesel Mec;R$ 14.400,00;R$ 0,00;R$ 4.320,00;30;R$ 0,00
1723;29948;13/01/2022 00:00;14/01/2022 00:00;Sim;RFI4A41;Cinza;Ka Se 1.0 Ha;R$ 100,00;R$ 0,00;R$ 100,00;1;R$ 0,00
2280;29971;15/01/2022 00:00;17/01/2022 00:00;Sim;RTI3A45;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 140,00;R$ 0,00;R$ 280,00;1;R$ 0,00
1961;29972;17/01/2022 00:00;16/02/2022 00:00;Sim;RFI4A41;Cinza;Ka Se 1.0 Ha;R$ 2.300,00;R$ 0,00;R$ 2.300,00;30;R$ 0,00
2281;29975;17/01/2022 00:00;27/01/2022 00:00;Sim;QNX9112;Prata;Hilux Cd 4x4 2.8 Diesel Mec;R$ 350,00;R$ 0,00;R$ 3.850,00;1;R$ 350,00
1983;29974;17/01/2022 00:00;20/01/2022 00:00;Sim;RTI3A46;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 140,00;R$ 0,00;R$ 420,00;1;R$ 0,00
2282;30400;18/01/2022 00:00;09/02/2022 00:00;Sim;QWU1035;Cinza;Etios Hb Xls 1.5;R$ 73,35;R$ 0,00;R$ 1.615,00;1;R$ 1,30
2282;29977;18/01/2022 00:00;03/02/2022 00:00;Sim;RFI4A48;Branco;Ka Se 1.0 Ha;R$ 73,35;R$ 0,00;R$ 0,00;1;
2283;29978;18/01/2022 00:00;24/01/2022 00:00;Sim;QQH9652;Cinza;Hr-v Ex 1.8 Flexone 16v 5p Aut.;R$ 275,00;R$ 0,00;R$ 1.690,00;1;R$ 40,00
2116;29985;19/01/2022 00:00;25/01/2022 00:00;Sim;QWU1064;Prata;Etios Hb Xls 1.5;R$ 110,00;R$ 0,00;R$ 770,00;1;R$ 27,50
2113;30039;21/01/2022 00:00;31/01/2022 00:00;Sim;RTI9F68;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 160,00;R$ 0,00;R$ 1.630,00;1;R$ 30,00
2288;30080;26/01/2022 00:00;01/02/2022 00:00;Sim;RMF0A21;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 190,00;R$ 0,00;R$ 1.643,95;1;R$ 370,00
823;30427;04/02/2022 00:00;14/02/2022 00:00;Sim;RTI9F68;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 108,00;R$ 0,00;R$ 1.080,00;1;R$ 0,00
2284;30000;10/02/2022 00:00;21/02/2022 00:00;Sim;RTI3A45;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 100,00;R$ 0,00;R$ 1.150,00;1;R$ 0,00
816;30560;21/02/2022 00:00;22/03/2022 00:00;Sim;RMR4D64;Preto;Corolla Gli 2.0;R$ 3.865,99;R$ 0,00;R$ 3.737,12;30;R$ 0,00
2297;30644;25/02/2022 00:00;02/03/2022 00:00;Sim;QXS3A06;Cinza;Spin Primier 1.8 8v Econo.Flex 5p Mec;R$ 230,00;R$ 0,00;R$ 1.150,00;1;R$ 0,00
1404;30639;25/02/2022 00:00;25/02/2022 00:00;Sim;QXV1F13;Prata;Gol 1.0 Flex 12v 5p;R$ 150,00;R$ 0,00;R$ 0,00;1;
1404;30885;25/02/2022 00:00;03/03/2022 00:00;Sim;RFT6C13;Prata;Gol 1.6 Msi Flex 8v 5p;R$ 150,00;R$ 0,00;R$ 900,00;1;R$ 0,00
823;30888;03/03/2022 00:00;07/03/2022 00:00;Sim;RFT6C13;Prata;Gol 1.6 Msi Flex 8v 5p;R$ 110,00;R$ 53,13;R$ 553,13;1;R$ 60,00
823;30887;03/03/2022 00:00;03/03/2022 00:00;Sim;RME6J15;Prata;Gol 1.6 Msi Flex 8v 5p;R$ 110,00;R$ 0,00;R$ 0,00;1;
1983;30918;07/03/2022 00:00;12/03/2022 00:00;Sim;RTC9D83;Cinza;Gol G7 1.6 Completo Trend Line;R$ 140,00;R$ 0,00;R$ 760,00;1;R$ 60,00
2300;31000;18/03/2022 00:00;30/03/2022 00:00;Sim;RFT6C18;Branco;Hilux Cd 4x4 2.8 Diesel Mec;R$ 458,30;R$ 0,00;R$ 5.499,60;1;R$ 0,00
696;31024;21/03/2022 00:00;26/03/2022 00:00;Sim;RTH7F00;Prata;Frontier Sccd 4x4 2.3 Tb Diesel Mec.;R$ 450,00;R$ 75,90;R$ 2.325,90;1;R$ 0,00
235;31071;22/03/2022 00:00;16/04/2022 00:00;Sim;QQU9615;Preta;Corolla Gli 1.8 Cvt;R$ 140,00;R$ 0,00;R$ 3.500,00;1;R$ 0,00
1305;31072;23/03/2022 00:00;23/03/2022 00:00;Sim;RFP7J90;Branca;Ka Se 1.0 Ha;R$ 120,00;R$ 0,00;R$ 0,00;1;
1305;31073;23/03/2022 00:00;30/03/2022 00:00;Sim;RME6J07;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 130,00;R$ 0,00;R$ 910,00;1;R$ 0,00
1305;31466;30/03/2022 00:00;04/04/2022 00:00;Sim;RME6J07;Cinza;Gol 1.6 Msi Flex 8v 5p;R$ 130,00;R$ 0,00;R$ 650,00;1;R$ 0,00
2304;31324;01/04/2022 00:00;18/04/2022 00:00;Sim;QXD1031;Cinza;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;R$ 200,00;R$ 0,00;R$ 3.550,00;1;R$ 0,00
405;31477;13/04/2022 00:00;14/04/2022 00:00;Sim;RFF0F38;Prata Sirius;VOYAGE 1.6 L MB5;R$ 190,00;R$ 0,00;R$ 190,00;1;R$ 0,00
2116;31501;14/04/2022 00:00;18/04/2022 00:00;Sim;RFT2A86;Cinza Moscou;Ka Se 1.0 Ha;R$ 160,00;R$ 0,00;R$ 700,00;1;R$ 60,00
2306;31886;03/05/2022 00:00;03/06/2022 00:00;Sim;RMY4H27;Prata;Versa 16 Sv Cvt;R$ 125,80;R$ 0,00;R$ 3.959,80;1;R$ 60,00
2310;31945;06/05/2022 00:00;09/05/2022 00:00;Sim;RTJ8G45;Preta;Cruze Ltz 1.4 16v Turbo Flex 4p Aut.;R$ 0,01;R$ 0,00;R$ 0,03;1;R$ 0,00
2309;31941;06/05/2022 00:00;11/05/2022 00:00;Sim;RFT6C13;Prata;Gol 1.6 Msi Flex 8v 5p;R$ 162,00;R$ 0,00;R$ 810,00;1;R$ 0,00
